dynamicProperties;occurrenceID;collectionID;catalogNumber;preparastions;recordedBy;identifiedBy;eventDate;country;stateProvince;county;locality;decimalLatitude;decimalLongitude;minimumElevationInMeters;scientificName;taxoank;individualCount;class;order;family;genus;SD;specificEpithet
Resolución 00386, junio 20 de 2000. CRQ;MAUQ. M8. CC 105;94;M8. CC. 105;Montaje en alfiler;SD;SD;18/09/2003;Colombia;Quindío;Armenia;SD;SD;SD;1500;Diptera;Orden;1;Insecta;Diptera;SD;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 106;94;M8. CC. 106;Montaje en alfiler;M. Cruz;M. Cruz;06/06/2008;Colombia;Quindío;Armenia;SD;SD;SD;1450;Apidae;Familia;1;Insecta;Diptera;Apidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 107;94;M8. CC. 107;Montaje en alfiler;Pineda;González, Pineda;10/05/2008;Colombia;Quindío;Quimbaya;SD;SD;SD;1100;Sarcophagidae;Familia;1;Insecta;Diptera;Sarcophagidae;SD;  ;SD
Resolución 00386, junio 20 de 2000. CRQ;MAUQ. M8. CC 108;94;M8. CC. 108;Montaje en alfiler;Ospina, Toledo;SD;14/05/2005;Colombia;Valle del Cauca;Buenaventura;SD;SD;SD;74;Diptera;Orden;1;Insecta;Diptera;SD;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 109;94;M8. CC. 109;Montaje en alfiler;Pineda;González, Villegas;09/05/2008;Colombia;Quindío;Quimbaya;SD;SD;SD;1100;Formicidae;Familia;1;Insecta;Hemiptera;Formicidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 110;94;M8. CC. 110;Montaje en alfiler;SD;SD;SD;Colombia;SD;SD;SD;SD;SD;SD;Diptera;Orden;1;Insecta;Diptera;SD;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 111;94;M8. CC. 111;Montaje en alfiler;Barrero;Herrera, Villegas;19/04/2008;Colombia;Quindío;La Tebaida;SD;SD;SD;1200;Syrphidae;Familia;1;Insecta;Diptera;Syrphidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 112;94;M8. CC. 112;Montaje en alfiler;SD;SD;SD;Colombia;SD;SD;SD;SD;SD;SD;Diptera;Orden;1;Insecta;Diptera;SD;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 113;94;M8. CC. 113;Montaje en alfiler;Pineda;Pineda, Villegas;09/05/2008;Colombia;Quindío;Quimbaya;SD;SD;SD;1100;Muscidae;Familia;1;Insecta;Diptera;Muscidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 114;94;M8. CC. 114;Montaje en alfiler;SD;SD;SD;Colombia;SD;SD;SD;SD;SD;SD;Diptera;Orden;1;Insecta;Diptera;SD;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ. M8. CC 115;94;M8. CC. 115;Montaje en alfiler;Z. Romero;L. Patiño, Z. Romero;03-05/05/2008;Colombia;Valle del Cauca;Buenaventura;SD;SD;SD;10;Asilidae;Familia;1;Insecta;Diptera;Asilidae;SD;  ;SD
